,hour,minute,price,amount,menu_name
0,10,0,360,1,27
1,10,0,100,1,4
2,10,0,230,1,12
3,10,0,440,1,10
4,10,0,120,1,5
5,10,0,160,1,4
6,10,1,120,1,5
7,10,1,120,1,17
8,10,1,210,1,10
9,10,1,300,1,19
10,10,9,340,1,10
11,10,10,360,1,27
12,10,10,100,1,4
13,10,11,250,1,21
14,10,11,120,1,5
15,10,11,100,1,4
16,10,15,190,1,15
17,10,15,250,1,21
18,10,16,120,2,5
19,10,16,100,1,4
20,10,19,350,1,22
21,10,20,280,1,10
22,10,21,120,1,5
23,10,21,100,1,4
24,10,21,120,2,5
25,10,21,100,1,4
26,10,22,360,1,27
27,10,24,120,2,5
28,10,24,350,1,10
29,10,24,120,1,5
30,10,24,160,1,4
31,10,25,320,1,10
32,10,28,290,1,16
33,10,30,190,1,15
34,10,30,80,1,10
35,10,30,80,1,10
36,10,31,350,1,10
37,10,37,190,1,15
38,10,39,340,1,18
39,10,40,230,1,10
40,10,40,340,1,18
41,10,40,120,2,5
42,10,40,220,1,10
43,10,40,390,1,10
44,10,43,270,1,20
45,10,43,270,1,10
46,10,46,270,1,13
47,10,46,390,1,10
48,10,48,230,1,10
49,10,48,300,1,19
50,10,49,300,1,19
51,10,49,70,1,10
52,10,49,350,1,10
53,10,56,220,1,10
54,10,56,350,1,22
55,10,56,300,1,19
56,10,57,210,1,10
57,10,57,200,1,10
58,11,1,300,1,25
59,11,1,120,1,10
60,11,4,280,1,10
61,11,4,340,1,10
62,11,5,500,1,10
63,11,9,270,1,20
64,11,9,270,1,10
65,11,10,320,1,10
66,11,13,190,1,15
67,11,13,300,1,10
68,11,15,70,1,10
69,11,15,340,1,18
70,11,26,310,1,10
71,11,26,220,1,8
72,11,26,30,1,33
73,11,26,110,1,10
74,11,26,110,1,10
75,11,26,250,1,10
76,11,26,110,1,10
77,11,28,680,1,10
78,11,30,320,1,10
79,11,32,110,1,10
80,11,32,260,1,10
81,11,32,110,1,11
82,11,32,220,1,8
83,11,32,100,1,10
84,11,35,1900,1,10
85,11,36,680,1,10
86,11,36,120,1,17
87,11,36,720,1,6
88,11,37,400,1,24
89,11,38,400,1,24
90,11,39,770,1,10
91,11,39,100,1,2
92,11,39,600,1,10
93,11,39,30,1,33
94,11,39,200,1,26
95,11,39,10,1,32
96,11,39,10,1,32
97,11,39,220,1,8
98,11,39,30,1,33
99,11,39,250,1,10
100,11,39,60,1,35
101,11,39,110,1,11
102,11,39,110,1,10
103,11,39,30,1,3
104,11,39,100,2,23
105,11,39,580,1,10
106,11,43,220,1,8
107,11,43,30,1,33
108,11,43,100,1,23
109,11,43,50,1,10
110,11,43,110,1,10
111,11,43,260,1,10
112,11,43,110,1,10
113,11,43,50,1,10
114,11,43,240,1,10
115,11,43,280,1,10
116,11,44,700,1,10
117,11,44,30,1,33
118,11,44,100,1,23
119,11,45,300,1,25
120,11,45,310,1,10
121,11,45,100,1,23
122,11,47,780,1,10
123,11,47,200,1,26
124,11,47,500,1,10
125,11,47,30,1,33
126,11,47,100,1,23
127,11,47,220,1,8
128,11,47,30,1,33
129,11,47,230,1,10
130,11,47,110,1,11
131,11,47,110,1,10
132,11,47,110,1,10
133,11,47,300,1,19
134,11,47,680,1,10
135,11,47,510,1,7
136,11,48,500,1,10
137,11,48,250,1,10
138,11,48,500,1,10
139,11,48,200,1,26
140,11,48,500,1,10
141,11,48,30,1,33
142,11,48,80,1,36
143,11,48,100,1,23
144,11,49,510,1,7
145,11,49,550,1,10
146,11,49,220,1,8
147,11,49,30,1,33
148,11,49,50,1,10
149,11,49,260,1,10
150,11,49,110,1,10
151,11,49,190,1,10
152,11,49,110,1,10
153,11,49,110,1,10
154,11,50,310,1,29
155,11,50,30,1,33
156,11,50,150,1,10
157,11,50,310,1,29
158,11,50,30,1,33
159,11,50,200,1,26
160,11,51,220,1,8
161,11,51,190,1,10
162,11,51,110,1,10
163,11,51,260,1,10
164,11,51,60,1,35
165,11,51,780,1,10
166,11,52,400,1,10
167,11,52,780,1,1
168,11,52,170,1,10
169,11,52,270,1,13
170,11,52,440,1,10
171,11,53,220,1,8
172,11,53,30,1,33
173,11,53,60,1,35
174,11,53,110,1,11
175,11,53,230,1,10
176,11,53,110,1,10
177,11,53,100,1,23
178,11,53,100,1,23
179,11,53,780,1,10
180,11,53,220,1,10
181,11,53,230,1,10
182,11,53,270,2,13
183,11,53,250,4,21
184,11,54,510,1,7
185,11,54,510,1,7
186,11,55,780,1,1
187,11,55,300,1,25
188,11,55,310,1,29
189,11,55,110,1,3
190,11,55,70,1,3
191,11,55,120,1,10
192,11,55,600,1,10
193,11,55,120,1,10
194,11,55,300,1,25
195,11,56,720,1,6
196,11,56,310,1,10
197,11,56,280,1,10
198,11,56,190,1,15
199,11,57,250,1,10
200,11,57,110,1,10
201,11,57,110,1,10
202,11,57,110,1,10
203,11,57,10,1,32
204,11,57,10,1,32
205,11,57,600,1,10
206,11,57,10,1,32
207,11,57,220,1,8
208,11,57,100,1,23
209,11,57,190,1,10
210,11,57,110,1,10
211,11,57,60,1,35
212,11,57,110,1,10
213,11,58,310,1,29
214,11,58,310,1,29
215,11,58,100,1,23
216,11,58,100,1,23
