,hour,minute,price,amount,menu_name
0,10,0,360,1,フルーツヨーグルト
1,10,0,100,1,Sドリンク
2,10,0,230,1,カレーパン
3,10,0,440,1,その他
4,10,0,120,1,おにぎり
5,10,0,160,1,Sドリンク
6,10,1,120,1,おにぎり
7,10,1,120,1,スープ（単品）
8,10,1,210,1,その他
9,10,1,300,1,トール・アイスコーヒー
10,10,9,340,1,その他
11,10,10,360,1,フルーツヨーグルト
12,10,10,100,1,Sドリンク
13,10,11,250,1,トール・ドリップコーヒー
14,10,11,120,1,おにぎり
15,10,11,100,1,Sドリンク
16,10,15,190,1,ショート・ドリップコーヒー
17,10,15,250,1,トール・ドリップコーヒー
18,10,16,120,2,おにぎり
19,10,16,100,1,Sドリンク
20,10,19,350,1,トール・ラテ
21,10,20,280,1,その他
22,10,21,120,1,おにぎり
23,10,21,100,1,Sドリンク
24,10,21,120,2,おにぎり
25,10,21,100,1,Sドリンク
26,10,22,360,1,フルーツヨーグルト
27,10,24,120,2,おにぎり
28,10,24,350,1,その他
29,10,24,120,1,おにぎり
30,10,24,160,1,Sドリンク
31,10,25,320,1,その他
32,10,28,290,1,ショート・ラテ
33,10,30,190,1,ショート・ドリップコーヒー
34,10,30,80,1,その他
35,10,30,80,1,その他
36,10,31,350,1,その他
37,10,37,190,1,ショート・ドリップコーヒー
38,10,39,340,1,トール・アイスオレ
39,10,40,230,1,その他
40,10,40,340,1,トール・アイスオレ
41,10,40,120,2,おにぎり
42,10,40,220,1,その他
43,10,40,390,1,その他
44,10,43,270,1,トール・アイスティー
45,10,43,270,1,その他
46,10,46,270,1,クラブハウスサンド
47,10,46,390,1,その他
48,10,48,230,1,その他
49,10,48,300,1,トール・アイスコーヒー
50,10,49,300,1,トール・アイスコーヒー
51,10,49,70,1,その他
52,10,49,350,1,その他
53,10,56,220,1,その他
54,10,56,350,1,トール・ラテ
55,10,56,300,1,トール・アイスコーヒー
56,10,57,210,1,その他
57,10,57,200,1,その他
58,11,1,300,1,バランスサラダM
59,11,1,120,1,その他
60,11,4,280,1,その他
61,11,4,340,1,その他
62,11,5,500,1,その他
63,11,9,270,1,トール・アイスティー
64,11,9,270,1,その他
65,11,10,320,1,その他
66,11,13,190,1,ショート・ドリップコーヒー
67,11,13,300,1,その他
68,11,15,70,1,その他
69,11,15,340,1,トール・アイスオレ
70,11,26,310,1,その他
71,11,26,220,1,ごはんセット
72,11,26,30,1,十五穀米
73,11,26,110,1,その他
74,11,26,110,1,その他
75,11,26,250,1,その他
76,11,26,110,1,その他
77,11,28,680,1,その他
78,11,30,320,1,その他
79,11,32,110,1,その他
80,11,32,260,1,その他
81,11,32,110,1,ひじきの煮物
82,11,32,220,1,ごはんセット
83,11,32,100,1,その他
84,11,35,1900,1,その他
85,11,36,680,1,その他
86,11,36,120,1,スープ（単品）
87,11,36,720,1,お母さん定食850
88,11,37,400,1,バランスサラダL
89,11,38,400,1,バランスサラダL
90,11,39,770,1,その他
91,11,39,100,1,12F SET IC
92,11,39,600,1,その他
93,11,39,30,1,十五穀米
94,11,39,200,1,バランスサラダS
95,11,39,10,1,包材10
96,11,39,10,1,包材10
97,11,39,220,1,ごはんセット
98,11,39,30,1,十五穀米
99,11,39,250,1,その他
100,11,39,60,1,煮卵
101,11,39,110,1,ひじきの煮物
102,11,39,110,1,その他
103,11,39,30,1,SPECIAL FOOD
104,11,39,100,2,ドリンクセット
105,11,39,580,1,その他
106,11,43,220,1,ごはんセット
107,11,43,30,1,十五穀米
108,11,43,100,1,ドリンクセット
109,11,43,50,1,その他
110,11,43,110,1,その他
111,11,43,260,1,その他
112,11,43,110,1,その他
113,11,43,50,1,その他
114,11,43,240,1,その他
115,11,43,280,1,その他
116,11,44,700,1,その他
117,11,44,30,1,十五穀米
118,11,44,100,1,ドリンクセット
119,11,45,300,1,バランスサラダM
120,11,45,310,1,その他
121,11,45,100,1,ドリンクセット
122,11,47,780,1,その他
123,11,47,200,1,バランスサラダS
124,11,47,500,1,その他
125,11,47,30,1,十五穀米
126,11,47,100,1,ドリンクセット
127,11,47,220,1,ごはんセット
128,11,47,30,1,十五穀米
129,11,47,230,1,その他
130,11,47,110,1,ひじきの煮物
131,11,47,110,1,その他
132,11,47,110,1,その他
133,11,47,300,1,トール・アイスコーヒー
134,11,47,680,1,その他
135,11,47,510,1,お肉弁当
136,11,48,500,1,その他
137,11,48,250,1,その他
138,11,48,500,1,その他
139,11,48,200,1,バランスサラダS
140,11,48,500,1,その他
141,11,48,30,1,十五穀米
142,11,48,80,1,納豆
143,11,48,100,1,ドリンクセット
144,11,49,510,1,お肉弁当
145,11,49,550,1,その他
146,11,49,220,1,ごはんセット
147,11,49,30,1,十五穀米
148,11,49,50,1,その他
149,11,49,260,1,その他
150,11,49,110,1,その他
151,11,49,190,1,その他
152,11,49,110,1,その他
153,11,49,110,1,その他
154,11,50,310,1,ランチカレー（ハーフ）
155,11,50,30,1,十五穀米
156,11,50,150,1,その他
157,11,50,310,1,ランチカレー（ハーフ）
158,11,50,30,1,十五穀米
159,11,50,200,1,バランスサラダS
160,11,51,220,1,ごはんセット
161,11,51,190,1,その他
162,11,51,110,1,その他
163,11,51,260,1,その他
